	actress/nn	advance/vv	agencies/nn	agency/nn	aids/nn	alan/np	america/np	anybody/pn	anyone/pn	anything/pn	arm/nn	army/nn	artist/nn	association/nn	boss/nn	boys/nn	boy/nn	brother/nn	bush/np	businesses/nn	business/nn	campaign/nn	candidate/nn	car/nn	charity/nn	child/nn	citizen/nn	city/nn	companies/nn	company/nn	competitor/nn	convict/nn	countries/nn	country/nn	court/nn	criminal/nn	criminals/nn	dad/nn	daughters/nn	daughter/nn	district/nn	dogs/nn	employees/nn	dog/nn	employee/nn	enterprise/nn	entrant/nn	environment/nn	europe/np	everybody/pn	everyone/pn	fbi/np	folk/nn	food/nn	fred/np	friends/nn	friend/nn	girl/nn	government/nn	grandparents/nn	grandparent/nn	group/nn	grower/nn	grown-up/nn	guy/nn	guys/nn	her/pp	him/nn	him/pp	horses/nn	household/nn	houses/nn	house/nn	husband/nn	individual/nn	iranian/nn	irvin/np	it/pp	judge/nn	jury/nn	kid/nn	kids/nn	kitty/np	kurds/np	lady/nn	leland/np	lord/np	mama/nn	man/nn	management/nn	mater/nn	matter/nn	me/nn	me/pp	members/nn	member/nn	mom/nn	mom/np	mother/nn	myself/pp	nation/nn	nicaragua/np	other/nn	parents/nn	parent/nn	peasant/nn	people/nn	person/nn	plaintiff/nn	planner/nn	president/np	public/nn	rashad/np	reader/nn	rear/vv	russia/np	ryan/np	schwartzkopf/np	scout/nn	sister/nn	somebody/pn	someone/pn	son/nn	sons/nn	stomach/nn	stranger/nn	students/nn	student/nn	taxpayer/nn	teacher/nn	team/nn	that/dd	them/pp	theory/nn	things/nn	thing/nn	thomases/np	topic/nn	trek/np	troop/nn	twins/nn	twin/nn	university/nn	us/pp	veteran/nn	veto/nn	vietnamese/nn	washington/np	white/nn	wife/nn	woman/nn	women/nn	wwf/np	you/pp
actress/nn	0.0	2.2122698	2.6357346	3.0810807	2.1059542	3.0819938	3.2143633	1.5517225	1.4044476	1.5103171	2.6899211	3.0138252	0.7157559	3.0608046	2.6715646	1.4777908	0.67587286	2.6266904	1.9332474	1.3909633	2.6368105	2.7090242	2.2384388	2.7212038	1.887423	1.4091682	2.8857522	3.2840867	1.4356056	3.1187572	1.6393356	0.8010999	1.5330691	2.9598165	3.1947508	1.0334133	2.8248405	2.8119822	2.184995	2.4635737	3.0516438	1.6785613	1.5890869	1.4510028	1.2569262	3.0057678	2.9384186	2.7201905	2.9619873	1.5589224	1.5096679	3.046792	1.0323728	1.8788474	2.5398192	1.7411397	2.362903	0.6604143	3.0341249	2.7159693	2.0994952	1.3200958	3.256492	1.7218897	1.0674919	1.3344072	2.2322245	1.7564923	2.2562444	1.793929	2.9586809	1.4361262	3.0573273	2.3815558	0.9013556	3.029018	2.504957	2.438231	3.1402915	3.1898234	1.2055591	1.5106874	2.2443557	2.311042	1.0712653	2.3184552	2.0548623	2.6934445	0.34600788	1.7455907	2.6650407	1.0437136	2.0156503	2.3313668	1.4509857	1.5180161	2.6742415	2.450102	2.5134835	2.044153	3.1522593	3.0553546	1.7627532	1.470123	1.9367187	0.95577246	0.9635878	0.79329175	3.105619	1.5914232	2.2837634	3.0585752	2.5804613	1.7190621	1.7045723	3.007192	2.7813928	2.3283432	0.8775371	2.619368	1.2762101	1.1573873	2.501908	1.3592297	2.6200972	0.9500804	0.86921585	0.48113966	2.9580615	0.55486155	2.8211641	2.4173844	2.1071222	2.0554905	1.5516642	1.4105119	1.7377272	1.4969511	2.4300597	2.6807878	1.3547119	2.5977533	1.3584448	2.392582	1.0280064	1.9426751	3.1457446	3.089464	1.9740515	2.8056445	0.37444013	1.5510994	3.1201704	1.5732149
advance/vv	2.2122698	0.0	1.6568747	1.9855082	0.7534214	1.7832584	1.9887354	2.9323056	2.7692165	2.57655	3.417334	1.7931012	1.7465588	2.3081152	3.3980956	2.4954538	2.708661	3.6052406	1.3437632	2.0952032	1.4736756	1.7654108	1.6619791	1.4705107	0.7485501	2.3847048	2.364566	2.0914068	2.164792	2.024753	2.2335403	2.292583	2.160378	1.6867942	1.8959651	2.2136085	2.208972	3.703542	3.3269136	3.3503788	1.8696678	1.8418725	1.8440634	1.2425928	2.023869	2.3684988	1.5287546	1.4001803	1.7443944	2.8380013	2.8308415	1.7527215	2.410436	0.5388782	0.78734213	1.9403534	3.171108	2.7050054	1.86029	1.0787027	3.0243685	1.3974084	2.0558736	0.83548206	2.191015	2.258316	0.51228154	1.064547	0.45762894	1.1330761	1.8396562	2.3985991	1.6347064	3.4724634	2.238207	1.6785417	0.8464262	0.7006971	1.9104731	1.7869354	2.376579	1.679081	0.7583079	0.8542162	2.765854	0.8709511	1.3833418	3.5435004	2.465968	1.4768527	3.4514294	1.5281693	0.6575963	0.4910304	1.6431286	1.4567266	3.4861498	1.4133375	3.4539192	0.5169475	1.8259573	1.9112749	0.70680827	2.3026745	2.8419578	2.1589198	2.5396163	2.0177734	1.877522	1.7903435	1.2672495	2.0668712	0.78931475	2.4526286	2.2123883	1.7222683	1.3445299	2.0602617	2.8477964	3.582789	2.767712	2.680039	3.349197	2.389614	3.4138255	1.4132851	2.0883012	2.1438482	2.1411197	2.0429676	1.5736415	0.966382	0.40227842	1.4168774	1.900486	1.663903	0.9123488	1.2196133	0.8074759	2.1946435	1.2594699	3.699562	1.390492	0.6841863	2.0988762	1.549703	1.842995	1.9166529	0.6397566	3.5339093	2.5107846	1.2455156	1.8038915	2.4339986
agencies/nn	2.6357346	1.6568747	0.0	1.0169075	2.2541518	1.1829013	2.2855422	2.8739603	2.7767606	2.5814507	4.387785	0.8368297	2.0656261	0.8079329	4.372333	2.9078197	3.2212586	4.5028596	1.5885279	2.6044588	2.0386214	1.1031492	1.2912368	1.703306	1.9055634	3.2439678	0.81540567	2.3125668	2.2005928	1.0068092	3.1868644	2.4196172	2.5876732	1.8701648	1.2776972	2.0307093	0.62665826	4.722981	4.267061	4.370985	1.5762914	2.3610168	2.8845663	2.130034	2.807469	0.8410209	1.2019062	1.2002409	2.214441	2.7701156	2.744084	0.8223981	2.649891	1.9696003	1.0837117	2.6119406	4.155667	3.190694	1.2672126	1.9497001	3.959477	1.6419562	1.1090623	1.6042703	2.4877837	2.70024	2.0060427	2.2047272	1.942885	2.1769211	2.2184002	2.883732	0.9305677	4.4229093	2.4370615	1.1065632	1.3741957	1.3870457	1.0366634	1.0431391	3.1056147	2.7211847	1.7216661	1.6207236	3.4544454	1.3919928	1.3634188	4.603327	2.843351	1.2359303	4.4980936	1.7621717	1.835962	1.9243104	1.8193262	1.5081587	4.545575	1.1067799	4.442576	1.9889175	0.84080726	2.1948416	1.9709344	3.170942	3.7680094	2.3675342	2.5977678	2.13931	1.139899	1.3954372	1.2097412	0.7211099	1.4466	3.41781	3.1929092	2.14592	0.90684646	0.8844351	3.3898652	4.5357733	2.7663598	2.696525	4.339475	2.7797596	4.500607	1.9373592	2.7725203	2.5570338	0.66309625	2.5820067	0.68757826	1.4006928	1.5172018	1.1496464	2.3542774	1.8638496	2.0998924	2.0081072	1.51002	0.7799272	2.1571107	4.5779715	1.5473098	2.028432	1.9990908	1.4672717	1.1908811	2.2722037	1.897072	4.5064445	2.8649578	2.2231836	0.89948946	2.3355556
agency/nn	3.0810807	1.9855082	1.0169075	0.0	2.617429	0.45856076	1.9174304	3.1846504	3.0991433	2.9019969	4.8832574	0.5400329	2.4535916	0.8751454	4.871098	3.2316775	3.6296346	5.011671	1.642987	2.8403232	1.8857301	0.74582565	1.1855617	1.4604695	2.3616188	3.726212	1.2126244	1.9270816	2.4682415	0.55847824	3.672175	2.7797196	2.947104	1.5525179	0.5162622	2.4835145	1.1420919	5.2069907	4.7416353	4.8164077	1.1342868	2.7560267	3.3658864	2.3963223	3.3141305	1.0202324	0.86716586	0.99913025	1.9779485	3.0776315	3.0425375	0.54556024	2.9998028	2.3377376	1.2603829	3.0370374	4.6614137	3.617136	0.49954772	1.8948712	4.4427757	1.9573367	0.62732005	2.097233	2.814229	3.040295	2.4057646	2.6594737	2.2473905	2.5998368	1.9619534	3.2388697	0.6143664	4.9029026	2.7815893	0.8362546	1.7612473	1.7030807	0.27525282	0.6147499	3.5472174	3.2175095	1.8449776	2.0333202	3.9077723	1.7467182	1.5719098	5.075279	3.2719743	1.6224562	4.996036	2.132055	2.2471948	2.2788043	2.2758653	1.9307466	5.0179253	1.1847928	4.9482636	2.3866045	0.4842262	1.9124013	2.4186075	3.6754193	4.259319	2.6536055	2.957219	2.5022857	0.7079102	1.874178	1.38875	0.5966127	1.7879789	3.9034958	3.6875677	1.865814	0.81277436	1.2230371	3.769983	5.008763	3.0910263	3.030865	4.828546	3.1005573	4.9629292	2.3873053	3.2973123	3.0561485	0.8096454	3.0816298	0.58341503	1.8361168	1.8533429	1.286928	2.737386	2.1720614	2.5862813	2.2452843	1.9214128	1.0736554	2.676133	5.068606	1.9507619	2.3822305	2.4030883	1.4883438	0.67747235	1.9692475	2.3107245	5.001601	3.3035765	2.7111127	0.7187693	2.636736
aids/nn	2.1059542	0.7534214	2.2541518	2.617429	0.0	2.4073937	2.5141442	2.8935175	2.7222497	2.53444	2.9396396	2.4420023	1.8376628	2.9406734	2.91941	2.3154774	2.4799361	3.1381724	1.8162884	1.995886	1.9419365	2.3989215	2.2148082	2.073124	0.74496883	2.005005	2.9527307	2.630938	2.2185204	2.6214697	1.8510703	2.3206956	1.9936061	2.2777774	2.56492	2.363802	2.7920978	3.1779172	2.8490841	2.8697848	2.4732463	1.6672416	1.5016991	1.4075338	1.775622	2.981612	2.2045445	2.0540636	2.2532184	2.8105	2.8277996	2.410765	2.3359375	0.6097364	1.4557481	1.6499138	2.6811945	2.481829	2.4923737	1.5893997	2.5564938	1.634746	2.6707718	0.99745816	2.169035	2.0998437	0.43962237	0.5827186	0.49217469	0.72232056	2.3545897	2.181503	2.3137743	2.9903371	2.2239773	2.3332074	1.259416	1.1745682	2.5721285	2.451603	2.049166	1.222662	1.1957012	1.005763	2.4278352	1.2592108	1.7432041	3.01013	2.3280196	1.8973088	2.9383016	1.7393179	0.7142595	0.580794	1.7957485	1.7655404	2.9639604	1.9226207	2.9509008	0.57821953	2.496712	2.4586842	0.7976848	1.9125538	2.3990037	2.2040536	2.5368338	2.112024	2.5118406	2.1349335	1.730336	2.7172203	1.2103577	2.018101	1.828515	2.2430284	2.014997	2.5862243	2.5978265	3.1041148	2.7372015	2.6621594	2.8714707	2.255559	2.887508	1.4823984	1.8536322	2.0308924	2.7735727	1.9068388	2.2113426	1.2800828	0.8035225	1.8260671	1.7284818	1.7382021	0.83505845	1.4176364	1.1544727	2.7746062	1.0146501	3.2373993	1.6715406	0.58882904	2.2520695	2.040299	2.5103261	2.4361234	0.688986	3.0483832	2.3696628	0.8403913	2.4595938	2.4579172
alan/np	3.0819938	1.7832584	1.1829013	0.45856076	2.4073937	0.0	1.7909906	3.281216	3.1836898	2.9676538	4.830603	0.609182	2.4560132	1.2499882	4.8167987	3.303522	3.6332068	4.969498	1.5454686	2.8829267	1.7399993	0.78437203	1.1989732	1.3332256	2.1581554	3.6953049	1.5784104	1.8042547	2.5840988	0.79363686	3.6217794	2.8526747	3.0085747	1.4334997	0.44283393	2.6166184	1.4771206	5.1311936	4.6806984	4.739738	1.0751814	2.7903419	3.296544	2.317428	3.294549	1.397454	0.7703824	0.88060206	1.8151357	3.1654992	3.1437263	0.5772356	3.0833638	2.1667523	1.0636148	3.0450687	4.590781	3.6321867	0.37244365	1.6606745	4.392571	1.998147	0.7767367	1.936835	2.8954024	3.1013486	2.175746	2.5144637	2.01232	2.4575431	1.8367244	3.2946072	0.66782975	4.8419766	2.8552966	0.7679803	1.542065	1.4770359	0.3945206	0.6107372	3.5461757	3.1332352	1.6433368	1.8408517	3.8911316	1.5109541	1.4209908	4.988377	3.2985833	1.7508683	4.912213	2.1605039	2.0273478	2.0279973	2.375376	2.0230033	4.93182	1.0013897	4.8792334	2.2203908	0.58313626	1.7870368	2.282734	3.6360195	4.2108793	2.7346299	3.0648003	2.559496	0.73887455	2.05277	1.1989472	0.91918826	1.5485283	3.848684	3.6301708	1.7096531	0.8247818	1.5151867	3.7643852	4.9510293	3.184436	3.1279938	4.761891	3.1754782	4.867501	2.3299289	3.282134	3.0862875	1.1491722	3.088175	0.6362914	1.6260685	1.6671168	1.3578234	2.7737792	2.2313926	2.4027126	2.1983602	1.7061495	1.417606	2.5974667	5.0264316	2.0112247	2.1270328	2.5288007	1.4711031	0.6205622	1.8328923	2.1888142	4.949899	3.326775	2.6069832	0.69236755	2.7050562
america/np	3.2143633	1.9887354	2.2855422	1.9174304	2.5141442	1.7909906	0.0	3.6223516	3.516096	3.3688493	4.8096676	1.945938	2.6016126	2.376909	4.8002667	3.4084203	3.7238426	5.000872	1.4810437	2.8257458	0.64717174	1.6358006	1.6742566	0.7093576	2.461011	3.7428029	2.6143026	0.17751715	2.8763947	2.0351138	3.674195	3.0430207	3.2267027	0.45601898	1.5042273	2.9900458	2.5645013	5.1095886	4.680453	4.710982	0.94224423	3.085079	3.315816	2.06671	3.3803592	2.4831414	1.2948805	1.168637	0.42230067	3.532662	3.4543936	1.8456672	3.2470236	2.140354	1.7118294	3.30075	4.6484103	3.730874	1.593295	0.9941015	4.422057	2.12659	1.9952148	2.405823	2.9531412	3.2165883	2.402101	2.8077786	2.170838	2.7921565	0.34004694	3.4187717	1.7104697	4.8242865	3.048693	1.7359042	2.2096245	2.0197427	1.8175384	1.7458602	3.6199758	3.285337	1.3975949	2.3382187	3.9563966	2.1486852	2.107591	4.9563384	3.4255643	2.148257	4.877288	2.29281	2.3511426	2.300817	2.6371074	2.294621	4.901119	1.9278189	4.8656106	2.2894294	1.8794109	0.35250884	2.3615024	3.7297678	4.2421193	2.7995617	3.2901032	2.7852907	1.5334762	2.5011659	1.9439853	2.1354218	2.1719532	3.8991783	3.6710126	0.33830985	1.6381745	2.426536	3.846794	4.9548144	3.4808335	3.3911107	4.7589355	3.2658088	4.819116	2.5494745	3.40321	3.251522	2.3036172	3.216833	1.8542439	2.3701088	2.0238435	2.0426247	3.0948565	2.597997	2.597389	1.9628259	2.2506394	2.44476	2.8379273	5.064142	2.21824	2.4268193	2.8256855	1.642514	1.8135626	0.22374459	2.3006682	4.9206033	3.4791353	2.9155633	1.870576	3.1701133
anybody/pn	1.5517225	2.9323056	2.8739603	3.1846504	2.8935175	3.281216	3.6223516	0.0	0.20622404	0.44583532	3.771389	3.1013474	1.5526572	3.0544133	3.759142	1.5903099	1.709325	3.6818597	2.4341493	1.6601888	3.1389453	2.861837	2.4503314	3.1219594	2.6642108	2.514505	2.892464	3.6683595	1.3070682	3.0303125	2.7956803	1.0191008	1.7421861	3.341656	3.416154	1.2814324	2.8650825	3.848234	3.274425	3.6103227	3.2505186	2.0203452	2.7743	2.5062988	2.4660828	2.96396	3.1533434	3.0208747	3.4369004	0.17256378	0.19433592	3.290796	1.1497017	2.7713828	2.9860857	2.2308428	3.4807658	1.6318564	3.1795547	3.296213	3.1625328	1.8410482	3.1803954	2.4631011	1.4322033	1.6049814	3.0162926	2.4617324	2.9120793	2.311296	3.426595	1.6984556	3.3000329	3.4780297	1.0875663	3.128068	3.1444998	3.088259	3.3446288	3.315943	2.123111	2.5190127	2.8854048	2.9462326	2.1369846	2.9141195	2.3930776	3.7589514	1.3899672	2.2782903	3.8071616	1.7571387	2.7325628	3.0364983	2.1137817	2.1981397	3.7741673	2.7418807	3.607945	2.8655376	3.3153708	3.4874122	2.6533513	2.605475	3.055569	1.3114741	0.9310188	1.24795	3.2156434	2.005179	2.6564229	3.0977972	3.2027948	2.834803	2.8850994	3.4399376	3.105217	2.3259733	1.8397033	3.7138727	0.32585597	0.5095104	3.6207018	1.5697818	3.7551606	1.7951623	2.1658657	1.6908269	2.9813833	1.8826135	2.9833405	3.0253532	2.6999831	2.1042259	1.7523364	1.5297229	2.6502786	2.3894873	3.1572149	2.662607	2.3885818	3.6533496	2.0580497	3.0631108	1.3240678	2.284314	3.259086	3.5321968	2.7010665	3.8560965	1.3390174	2.3192165	3.2921045	0.67031616
anyone/pn	1.4044476	2.7692165	2.7767606	3.0991433	2.7222497	3.1836898	3.516096	0.20622404	0.0	0.37677443	3.6212358	3.0099127	1.3940699	2.9909925	3.6079369	1.4351044	1.5860987	3.5401163	2.308819	1.4946558	3.0161726	2.7648504	2.3448877	3.0040286	2.502895	2.3483584	2.8322306	3.5672193	1.1606709	2.952446	2.6208656	0.8587032	1.5759237	3.230364	3.3201299	1.1558152	2.7976048	3.7096493	3.133576	3.4580061	3.160879	1.8506463	2.5939832	2.3392673	2.295757	2.9059093	3.0465343	2.912362	3.3218822	0.2613983	0.25930184	3.1911292	0.9822568	2.5990877	2.8507378	2.0592577	3.3234315	1.5023127	3.087722	3.159089	3.0118594	1.6926235	3.101675	2.30753	1.2643278	1.4358338	2.8487427	2.2885387	2.749904	2.144745	3.3172102	1.5353665	3.1898005	3.3387687	0.9103742	3.0279644	3.0024915	2.9438806	3.2493744	3.2169774	1.9546479	2.337135	2.742002	2.8006532	1.9991835	2.7780573	2.2844982	3.6151755	1.2506303	2.148572	3.6573727	1.6067873	2.5741777	2.8753233	1.9599845	2.054259	3.6258278	2.637764	3.4639208	2.687856	3.2210138	3.381946	2.473306	2.4384947	2.8994436	1.1562307	0.7922516	1.0900525	3.1288946	1.8849492	2.543572	3.020738	3.0573735	2.662799	2.7118046	3.3237462	2.9823635	2.2534318	1.7305803	3.5687573	0.21662815	0.37970376	3.4692543	1.4067565	3.6045854	1.6292002	1.996933	1.5273606	2.9101822	1.7152853	2.8826451	2.8887246	2.5494034	1.9839075	1.583758	1.3668056	2.4805584	2.224163	3.0104532	2.598152	2.2135468	3.5182452	1.910852	2.9031484	1.1901774	2.168422	3.1646445	3.4240165	2.5231895	3.7096508	1.2034817	2.1435447	3.1981225	0.6274406
anything/pn	1.5103171	2.57655	2.5814507	2.9019969	2.53444	2.9676538	3.3688493	0.44583532	0.37677443	0.0	3.7006612	2.7892218	1.3973475	2.8237693	3.6870012	1.536997	1.7638248	3.6493077	2.1804395	1.532721	2.8703322	2.592517	2.2069128	2.844591	2.3115427	2.4175222	2.6913939	3.4202075	1.169201	2.7266066	2.6589916	1.0095894	1.5833552	3.0716915	3.1266537	1.2376277	2.638035	3.7968554	3.2451472	3.5546248	2.9726496	1.7825204	2.5922198	2.300156	2.3375518	2.7474382	2.8401356	2.7143378	3.1746857	0.32559666	0.43155804	2.9859135	1.1463584	2.4503584	2.6267552	2.0069864	3.3999393	1.6941863	2.886939	2.9760945	3.094046	1.609178	2.8685987	2.1215107	1.3780642	1.5057815	2.6484358	2.1090424	2.5324175	1.932578	3.1816478	1.6144238	2.9912083	3.4505515	1.0383627	2.8041825	2.7787669	2.7262442	3.055871	2.9970298	2.0481434	2.284827	2.5583181	2.574504	2.1450772	2.5480015	2.0621789	3.6946924	1.4218179	2.0672648	3.734588	1.5680572	2.3666394	2.6563604	1.9353775	1.999531	3.70553	2.408289	3.5555587	2.5303369	3.0064063	3.2411146	2.3462644	2.484076	2.9779232	1.2665637	1.01814	1.1485047	2.916806	1.8450924	2.3172295	2.8271694	2.8290973	2.7167134	2.7399879	3.169211	2.7932174	2.126408	1.9061991	3.678267	0.54956615	0.6685769	3.5581846	1.5155597	3.680866	1.5510154	2.0645914	1.6322281	2.7323925	1.7989159	2.663756	2.6560044	2.3272853	1.7852013	1.5076816	1.2565545	2.33081	2.1736896	2.7993715	2.452187	2.1221278	3.6416535	1.8494711	2.6751864	1.2530332	2.0529377	2.9515743	3.282347	2.365998	3.788947	1.3777511	1.9984798	2.976517	0.31399173
arm/nn	2.6899211	3.417334	4.387785	4.8832574	2.9396396	4.830603	4.8096676	3.771389	3.6212358	3.7006612	0.0	4.8687434	3.1450243	4.9967093	0.05309205	2.670125	2.3553758	0.42955256	3.9921012	2.8633275	4.2476044	4.7202888	4.3879766	4.448273	3.2886658	1.363559	4.799079	4.9443607	3.294856	4.966039	1.3004111	3.2186654	2.634872	4.652072	4.9581943	3.3414881	4.7007027	0.6263018	0.812991	0.6352224	4.9082994	2.5919442	1.6423663	2.9034538	1.7026324	4.963355	4.7118225	4.540121	4.595005	3.8138702	3.8072634	4.787011	2.9229965	3.0146117	4.062894	2.2654142	0.5360854	2.3726203	4.8986163	4.149287	0.64312875	3.2722337	5.1045628	3.3467572	2.8891048	2.619391	3.2328103	2.73773	3.392786	2.9317012	4.605901	2.485996	4.6877604	0.6896249	3.0685408	4.875978	3.7862957	3.7400992	4.8912425	4.9413185	1.7489597	1.8841276	3.7360487	3.504728	1.796123	3.8257139	4.051061	0.636895	2.6599922	3.4749649	0.48455492	3.2268355	3.397425	3.4427257	2.8342996	3.152863	0.5442637	4.3659005	0.5508754	3.0200043	4.9009295	4.76113	2.9459174	1.3304011	0.7722215	3.0912507	3.1634805	3.2495303	4.976719	3.450809	4.1745234	4.9479113	3.8252497	1.1412312	1.2799044	4.6103787	4.347397	4.384436	2.3323615	0.50919825	3.5479357	3.4465559	0.4112312	2.7010994	0.64304894	3.1327271	1.9269723	2.430711	4.8789334	2.2834496	4.6037827	3.7636747	3.4786272	3.9253414	2.7259912	3.2069075	3.0825486	2.9856453	3.628845	4.6752257	2.3714504	0.6447303	3.161312	3.4542472	3.2825053	4.1218057	4.9700465	4.7273617	2.9839008	0.17954117	2.7372365	2.535409	4.950213	3.8390198
army/nn	3.0138252	1.7931012	0.8368297	0.5400329	2.4420023	0.609182	1.945938	3.1013474	3.0099127	2.7892218	4.8687434	0.0	2.3611677	0.85050243	4.852644	3.211884	3.6003072	4.994601	1.5465122	2.826886	1.8450884	0.64464515	1.0947108	1.4123386	2.107844	3.6825776	1.1877913	1.9463627	2.46172	0.4994936	3.623107	2.7135448	2.9178662	1.5328943	0.6955918	2.430229	1.0789206	5.176673	4.710819	4.7966104	1.1439822	2.712922	3.2984667	2.3644187	3.2733495	0.99177736	0.6956249	0.8668556	1.9272029	2.9845464	2.9616199	0.507064	2.9643388	2.1866508	1.0411726	2.9905236	4.6171365	3.5769172	0.6223673	1.765474	4.4154954	1.918145	0.4551192	1.8772326	2.792832	3.0160856	2.185462	2.4890847	2.0355055	2.4131303	1.9513255	3.2129424	0.55177313	4.8771057	2.7310462	0.41677853	1.5982739	1.5619467	0.5423021	0.37398133	3.5115695	3.1164925	1.7237927	1.887119	3.8707223	1.5590303	1.4420116	5.0376673	3.219288	1.6530246	4.956267	2.0704803	1.999873	2.0422893	2.2831461	1.9434704	4.983066	1.0346961	4.907951	2.2033074	0.3342072	1.8826457	2.2251003	3.6306896	4.2275953	2.6429176	2.9237645	2.4326491	0.61574674	1.878011	1.228357	0.47833356	1.6044939	3.8476462	3.6359334	1.833354	0.7557556	1.1895623	3.7558527	4.9945545	3.0206003	2.9672832	4.799722	3.0843267	4.9250836	2.2235656	3.2343295	3.000731	0.7163416	3.0218852	0.37314847	1.6626409	1.6685236	1.2159176	2.681729	2.1217225	2.338382	2.228101	1.7741113	1.0367577	2.5856383	5.0593576	1.9379637	2.1426225	2.3690288	1.403603	0.45643955	1.9624566	2.147464	4.988552	3.2391973	2.5766885	0.40369818	2.523145
artist/nn	0.7157559	1.7465588	2.0656261	2.4535916	1.8376628	2.4560132	2.6016126	1.5526572	1.3940699	1.3973475	3.1450243	2.3611677	0.0	2.4577193	3.1265576	1.5511898	1.343477	3.1487396	1.2655059	1.2483016	2.0393033	2.022073	1.5420066	2.065865	1.5245004	1.8125035	2.3360324	2.661774	1.1596216	2.471394	1.9436182	0.6834324	1.5010028	2.3102124	2.5408678	0.7860738	2.2729778	3.3351536	2.7409053	2.9524543	2.379636	1.5702971	1.7597216	1.0984786	1.5314574	2.4188054	2.2591357	2.0473065	2.3523564	1.5129423	1.4445817	2.411753	1.0777165	1.5073231	1.946225	1.747467	2.8325458	1.3117123	2.3789127	2.1378825	2.5815449	0.7598115	2.59584	1.3024249	0.9705983	1.3576152	1.8815092	1.5666475	1.8426316	1.563537	2.355991	1.5420095	2.413223	2.9340942	0.8062166	2.3510637	2.0433195	1.9558395	2.5048866	2.5229633	1.5789721	1.6340883	1.6983899	1.9124324	1.6973858	1.8354163	1.5031608	3.2011645	0.9388877	1.2451279	3.1542778	0.43349454	1.6164489	1.9341899	1.1941658	1.1003131	3.1679223	1.8498651	3.0359054	1.6798956	2.5078754	2.4335806	1.4057292	1.8460462	2.3989387	0.75712234	1.0113107	0.40378186	2.4313502	1.1581656	1.7019823	2.424483	2.1063495	2.0870867	1.9988743	2.385841	2.1517353	1.7632152	1.5326464	3.1377206	1.2961439	1.1688181	2.9889364	1.3911121	3.1068356	0.46729407	1.256001	0.85899585	2.348162	0.9197871	2.1795034	1.984199	1.633327	1.444241	1.441065	1.0156804	1.4445528	1.0786186	2.005826	2.1059287	1.2798716	3.154612	0.8837807	2.0194159	0.71978813	1.2442375	2.48856	2.4795384	1.5964934	3.2678003	0.95768607	1.4351517	2.4650254	1.3462019
association/nn	3.0608046	2.3081152	0.8079329	0.8751454	2.9406734	1.2499882	2.376909	3.0544133	2.9909925	2.8237693	4.9967093	0.85050243	2.4577193	0.0	4.983091	3.265416	3.6337268	5.09197	1.8922629	2.9541945	2.300012	1.0727283	1.3792652	1.882073	2.5806124	3.8056376	0.4358012	2.3662732	2.4686992	0.8600535	3.781719	2.6990125	3.006011	1.989972	1.2156088	2.2913046	0.4486174	5.329702	4.8416023	4.960416	1.5886384	2.8582547	3.4966538	2.6067922	3.3703399	0.1792833	1.3178667	1.4149522	2.3954656	2.956539	2.9102848	0.98464763	2.962565	2.6168234	1.6506691	3.1551652	4.773351	3.5998218	1.2070106	2.345975	4.546062	2.037675	0.9545048	2.2793257	2.8094306	3.086466	2.7109094	2.8881643	2.603856	2.8293893	2.3576272	3.286698	1.0695927	5.00324	2.7431724	1.1666411	2.1015232	2.0834866	0.9833559	1.0729299	3.6115193	3.3665442	2.2418675	2.3559344	3.941883	2.0776463	1.8374484	5.214458	3.2306807	1.6117382	5.12274	2.1531503	2.5144224	2.6135454	2.261877	1.9359903	5.159289	1.533118	5.049152	2.6477017	0.87905276	2.2936215	2.601614	3.762165	4.355915	2.6452072	2.847303	2.4481866	1.1234716	1.6987354	1.7094655	0.3858645	2.1578653	4.0127425	3.7993581	2.3176954	1.2206595	0.79984105	3.796273	5.1217756	2.9736497	2.9141536	4.9414434	3.1289897	5.117102	2.4337647	3.3151495	3.0143795	0.18270266	3.0706775	0.93772537	2.1383278	2.1740785	1.4697467	2.8235567	2.2471275	2.7565396	2.4580638	2.2476485	0.44485903	2.8221102	5.149933	1.9853873	2.7261212	2.2650194	1.6587878	1.115287	2.3918278	2.5473104	5.113714	3.252349	2.895317	1.0162672	2.561251
